"Case ID","Symptom","Topology notes","Show-command outputs","Expected fault","OSI layer","Concept","Severity"
"CASE-11","PC-A gets IP 169.254.x.x link-local APIPA address despite DHCP server configured on Router-2.","PC-A connected to Switch-1 (VLAN 10). Router-1 is default gateway (Gig0/0.10: 10.10.10.1). Router-2 is central DHCP server (10.20.20.5).","show ip interface GigabitEthernet0/0.10
GigabitEthernet0/0.10 is up, line protocol is up
  Internet address is 10.10.10.1/24
  Broadcast address is 255.255.255.255
  Helper address is not set
  Inbound access list is not set

show running-config interface GigabitEthernet0/0.10
building configuration...
interface GigabitEthernet0/0.10
 encapsulation dot1Q 10
 ip address 10.10.10.1 255.255.255.0","DHCP helper address ('ip helper-address 10.20.20.5') is missing on subinterface Gig0/0.10 to relay broadcast DHCPDISCOVER messages across subnets.","Layer 3","DHCP","High"
"CASE-12","PC-4 (192.168.1.100) has duplicate IP warning pop up on desktop; network drops intermittently.","Network with static IP assignments on VLAN 1. Server-1 assigned 192.168.1.100, PC-4 assigned 192.168.1.100.","show ip interface brief
GigabitEthernet0/0/0  192.168.1.1  YES manual UP  up

show mac address-table
Vlan    Mac Address       Type        Ports
----    -----------       --------    -----
   1    0001.c411.1111    DYNAMIC     Fa0/1
   1    0001.c411.1111    DYNAMIC     Fa0/2
   1    00e0.8f99.8877    DYNAMIC     Fa0/12

show arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.1.100           0   0001.c411.1111  ARPA   Vlan1
Internet  192.168.1.100           0   00e0.8f99.8877  ARPA   Vlan1","Duplicate IP address 192.168.1.100 configured statically on both PC-4 (MAC 0001.c411.1111) and Server-1 (MAC 00e0.8f99.8877).","Layer 3","Gateway","Critical"
"CASE-13","Hosts in VLAN 50 cannot access local web server at 172.16.50.100 over port 80.","Router-1 configured with extended inbound access list SECURE_IN on GigabitEthernet0/0/0.50.","show access-lists SECURE_IN
Extended IP access list SECURE_IN
    10 permit tcp 172.16.50.0 0.0.0.255 host 172.16.50.100 eq 443
    20 permit icmp 172.16.50.0 0.0.0.255 any
    30 deny ip any any (1045 matches)

show ip interface GigabitEthernet0/0/0.50
GigabitEthernet0/0/0.50 is up, line protocol is up
  Internet address is 172.16.50.1/24
  Inbound access list is SECURE_IN","Access list SECURE_IN permits port 443 (HTTPS) but lacks a rule permitting TCP port 80 (HTTP) traffic to 172.16.50.100, falling through to implicit deny.","Layer 4","ACL","Medium"
"CASE-14","Subnet 192.168.1.128/26 host PC-5 cannot ping default gateway 192.168.1.129.","PC-5 IP: 192.168.1.150, Subnet Mask: 255.255.255.0. Router SVI IP: 192.168.1.129, Subnet Mask: 255.255.255.192.","show ip interface brief
GigabitEthernet0/0/0  192.168.1.129  YES manual UP  up

show running-config interface GigabitEthernet0/0/0
interface GigabitEthernet0/0/0
 ip address 192.168.1.129 255.255.255.192

show arp
Protocol  Address          Age (min)  Hardware Addr   Type   Interface
Internet  192.168.1.129           -   0002.4a12.3456  ARPA   GigabitEthernet0/0/0","Inconsistent subnet mask configured on PC-5 (255.255.255.0 vs gateway 255.255.255.192 /26), causing incorrect local network broadcast calculation.","Layer 3","Gateway","High"
"CASE-15","OSPF routing neighbor relationship fails between Router-A and Router-B on Point-to-Point link.","Router-A (10.0.0.1/30) connected to Router-B (10.0.0.2/30) via Gi0/0/0. OSPF Area 0 configured.","show ip ospf interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Internet Address 10.0.0.1/30, Area 0
  Process ID 1, Router ID 1.1.1.1, Network Type BROADCAST
  Timer intervals configured, Hello 10, Dead 40, Wait 40, Retransmit 5

show running-config | section ospf
router ospf 1
 router-id 1.1.1.1
 network 10.0.0.0 0.0.0.3 area 0
 ip ospf hello-interval 15","OSPF Hello timer mismatch: Router-A has Hello interval set to 15 seconds while standard interval on Router-B is 10 seconds. Dead interval mismatch prevents adjacency.","Layer 3","Routing","Medium"
"CASE-16","Sales laptop cannot authenticate to Wi-Fi network using WPA2-Personal PSK key.","Wireless Router Linksys WRT300N configured with SSID 'Sales-WiFi'. Laptop key entered: 'SalesPass123!'.","show running-config | section wlan
wlan ssid Sales-WiFi
 security wpa-psk ascii 7 094F471A1A0A001F
 key-string SalesPassword123!
 interface dot11Radio 0
  ssid Sales-WiFi
  encryption mode ciphers aes-ccm
  authentication open","Pre-shared Key (PSK) mismatch: WPA2 key on wireless router is configured as 'SalesPassword123!' but user client key was configured as 'SalesPass123!'.","Layer 2","Wireless","Medium"
"CASE-17","VLAN 10 clients cannot communicate across trunk link between Switch-1 and Switch-2.","Switch-1 Fa0/24 connected to Switch-2 Fa0/24 via crossover cable.","show interfaces trunk
Port        Mode         Encapsulation  Status        Native vlan
Fa0/24      auto         n-802.1q       dynamic-auto  1

show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2
10   Sales                            active    Fa0/3, Fa0/4","Trunk link negotiation failed: both Switch-1 Fa0/24 and Switch-2 Fa0/24 are set to 'dynamic auto' mode, resulting in an Access link instead of Trunk.","Layer 2","VLAN","High"
"CASE-18","Internal hosts behind NAT Router cannot establish passive FTP sessions to external FTP server.","Router-1 performing PAT (Port Address Translation) for 192.168.0.0/24. Firewall configured.","show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
tcp 203.0.113.1:10024  192.168.1.50:10024 198.51.100.10:21   198.51.100.10:21

show running-config | include ip nat
ip nat inside source list 1 interface GigabitEthernet0/1 overload

show access-lists
Standard IP access list 1
    10 permit 192.168.1.0 0.0.0.255","Control connection (port 21) succeeds, but dynamic high-numbered data ports required for passive FTP are blocked by missing ALG (Application Layer Gateway) or restrictive firewall rules.","Layer 7","NAT","Medium"
"CASE-19","Host PC-B (10.0.1.50) default gateway ping times out; switch shows port up.","PC-B in VLAN 1 (10.0.1.50/24) connected to SW-1 Fa0/10. Gateway is Router-1 Gi0/0 (10.0.1.1/24).","show interfaces FastEthernet0/10 switchport
Name: Fa0/10
Switchport: Enabled
Administrative Mode: static access
Operational Mode: static access
Administrative Trunking Encapsulation: dot1q
Operational Trunking Encapsulation: native
Negotiation of Trunking: Off
Access Mode VLAN: 99 (Unassigned)
Trunking Native Mode VLAN: 1 (default)

show vlan brief
VLAN Name                             Status    Ports
---- -------------------------------- --------- -------------------------------
1    default                          active    Fa0/1, Fa0/2, Fa0/3
99   VLAN0099                         active","Switchport Fa0/10 is assigned to access VLAN 99 instead of VLAN 1, isolating PC-B from router interface on VLAN 1.","Layer 2","VLAN","High"
"CASE-20","Static NAT mapping for Internal Web Server (192.168.1.100 -> 203.0.113.10) does not respond to external traffic.","Router-1 connected to ISP on Gi0/0/1 (203.0.113.2/30) and LAN on Gi0/0/0 (192.168.1.1/24).","show ip interface brief
GigabitEthernet0/0/0  192.168.1.1    YES manual UP  up
GigabitEthernet0/0/1  203.0.113.2    YES manual UP  up

show running-config | include nat
ip nat inside source static 192.168.1.100 203.0.113.10

show ip interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Internet address is 192.168.1.1/24

show ip interface GigabitEthernet0/0/1
GigabitEthernet0/0/1 is up, line protocol is up
  Internet address is 203.0.113.2/30","Missing 'ip nat inside' on interface GigabitEthernet0/0/0 and 'ip nat outside' on interface GigabitEthernet0/0/1.","Layer 3","NAT","High"
"CASE-21","Subnet 10.200.1.0/24 cannot reach 10.200.2.0/24 after adding static route on Router-1.","Router-1 connected to Router-2 over 10.250.0.0/30 (Gi0/0: 10.250.0.1, Gi0/1: 10.250.0.2).","show ip route
Codes: C - connected, S - static
Gateway of last resort is not set
C    10.200.1.0/24 is directly connected, GigabitEthernet0/1
C    10.250.0.0/30 is directly connected, GigabitEthernet0/0
S    10.200.2.0/24 [1/0] via 10.250.0.2

show ip interface brief
GigabitEthernet0/0  10.250.0.1  YES manual UP  up
GigabitEthernet0/1  10.200.1.1  YES manual UP  up","Asymmetric routing error: Router-1 has static route to 10.200.2.0/24 via Router-2, but Router-2 is missing a return static route back to 10.200.1.0/24.","Layer 3","Routing","High"
"CASE-22","Guests on AP-Guest cannot resolve internal corporate domain server 'internal.corp.local'.","Guest WLAN on 192.168.88.0/24. Router-1 DHCP server for guest pool configured with DNS server 8.8.8.8.","show ip dhcp pool GUEST_POOL
Pool GUEST_POOL :
 Utilization mark (high/low)    : 5 / 0
 Subnet size (Current/Total)    : 254 / 254
 Lease time                     : 1 days 0 hours 0 mins
 Domain name                    : guest.local
 DNS server                     : 8.8.8.8
 Default router                 : 192.168.88.1

show ip access-lists GUEST_ACL
Standard IP access list GUEST_ACL
    10 permit 192.168.88.0 0.0.0.255","Guest DHCP pool directs DNS queries to public resolver 8.8.8.8 which cannot resolve private zone 'internal.corp.local'.","Layer 7","DNS","Low"
"CASE-23","Router-1 failover link to Backup Router-2 never activates when Primary Link drops.","Router-1 configured with two static default routes. Primary via 10.0.0.2, Backup via 10.0.1.2.","show ip route
Codes: C - connected, S - static
Gateway of last resort is 10.0.0.2 to network 0.0.0.0
S*   0.0.0.0/0 [1/0] via 10.0.0.2
S*   0.0.0.0/0 [1/0] via 10.0.1.2

show running-config | include ip route
ip route 0.0.0.0 0.0.0.0 10.0.0.2
ip route 0.0.0.0 0.0.0.0 10.0.1.2","Floating static route configuration error: backup route has administrative distance 1 (equal to primary) instead of floating AD (e.g. 10), causing equal-cost load balancing or routing table conflicts.","Layer 3","Routing","Medium"
"CASE-24","Switch Fa0/1 port flapping repeatedly between UP and DOWN status every few seconds.","SW-1 Fa0/1 connected via Cat6 patch cable to SW-2 Fa0/1. Speed and duplex settings manually forced on SW-1.","show interfaces FastEthernet0/1
FastEthernet0/1 is up, line protocol is down (disabled)
  Hardware is Fast Ethernet, address is 000a.f311.2233
  Full-duplex, 100Mb/s, media type is 10/100BaseTX
  Input queue: 0/75/0/0 (size/max/drops/flushes); Total output drops: 0
  5 minute input rate 0 bits/sec, 0 packets/sec
  5 minute output rate 0 bits/sec, 0 packets/sec
     14201 misconfig framing errors, 8912 CRC errors, 0 collision

show running-config interface FastEthernet0/1
interface FastEthernet0/1
 speed 100
 duplex full","Duplex/Speed mismatch: SW-1 Fa0/1 is hardcoded to 100/Full while SW-2 Fa0/1 is set to Auto-negotiation (defaulting to 100/Half), producing CRC framing errors and port flapping.","Layer 1","VLAN","High"
"CASE-25","Wireless Clients lose Wi-Fi connection when roaming from West Wing to East Wing of building.","Two standalone Autonomous Cisco APs (AP-West and AP-East). Both broadcasting SSID 'OfficeNet'.","show running-config interface Dot11Radio0 (AP-West)
interface Dot11Radio0
 ssid OfficeNet
 channel 6
 encryption mode ciphers aes-ccm

show running-config interface Dot11Radio0 (AP-East)
interface Dot11Radio0
 ssid OfficeNet
 channel 6
 encryption mode ciphers tkip","Encryption cipher mismatch between APs (AES-CCM on AP-West vs TKIP on AP-East) for the same SSID, preventing seamless 802.11 roaming.","Layer 2","Wireless","Medium"
"CASE-26","Management VLAN 99 IP 192.168.99.2 on SW-1 cannot be accessed via SSH from admin subnet 10.0.0.0/24.","SW-1 is Layer 2 switch connected to Router-1 Gi0/0.99 (192.168.99.1).","show ip interface brief
Vlan99                 192.168.99.2   YES manual UP  up

show running-config | include ip default-gateway
(empty)

show ip route
% IP routing not enabled","Switch SW-1 lacks default gateway configuration ('ip default-gateway 192.168.99.1'), preventing return traffic to remote administration subnets.","Layer 3","Gateway","High"
"CASE-27","Host PC-7 (192.168.1.75) denied access to Server-2 (10.10.10.50); ping returns 'Destination Host Unreachable'.","Router-1 interface Gi0/0/1 has inbound access list DENY_HOSTS applied.","show access-lists DENY_HOSTS
Extended IP access list DENY_HOSTS
    10 deny ip host 192.168.1.75 host 10.10.10.50
    20 permit ip any any

show ip interface GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is up
  Inbound access list is DENY_HOSTS","Inbound access list DENY_HOSTS explicitly blocks host 192.168.1.75 from communicating with 10.10.10.50.","Layer 3","ACL","Low"
"CASE-28","Branch router fails to acquire dynamic public IP address on WAN interface Gi0/0/0 from ISP.","Gi0/0/0 connected to ISP Cable Modem. Interface configured with 'ip address dhcp'.","show interfaces GigabitEthernet0/0/0
GigabitEthernet0/0/0 is up, line protocol is down
  Hardware is CN GigabitEthernet, address is 0011.2233.4455
  Internet address is process keepalives set (10 sec)

show ip interface brief
GigabitEthernet0/0/0  unassigned     YES DHCP   UP  down","Layer 2 line protocol is down on GigabitEthernet0/0/0 due to physical layer disconnection, cable issue, or ISP modem link down.","Layer 1","Gateway","Critical"
"CASE-29","VLAN 20 subinterface on Router-1 shows protocol DOWN; encapsulation dot1Q missing.","Router-1 Gi0/0/0.20 connected to Switch-1 trunk port Fa0/1.","show ip interface brief
GigabitEthernet0/0/0.20  192.168.20.1  YES manual UP  down

show running-config interface GigabitEthernet0/0/0.20
building configuration...
interface GigabitEthernet0/0/0.20
 ip address 192.168.20.1 255.255.255.0","Subinterface GigabitEthernet0/0/0.20 is missing 'encapsulation dot1Q 20' command required to bind subinterface to 802.1Q VLAN 20 frames.","Layer 2","VLAN","High"
"CASE-30","Dynamic NAT translations pool exhausted; internal users report intermittent web page timeouts.","Router-1 dynamic NAT pool configured with range 203.0.113.100 to 203.0.113.102 (3 public IPs). 50 LAN hosts active.","show ip nat statistics
Total active translations: 3 (0 static, 3 dynamic; 0 extended)
Outside interfaces: GigabitEthernet0/0/1
Inside interfaces: GigabitEthernet0/0/0
Hits: 14200  Misses: 852
Expired translations: 1400
Dynamic mappings:
-- Inside Source
access-list 1 pool NAT_POOL refcount 3
 pool NAT_POOL: netmask 255.255.255.248
       start 203.0.113.100 end 203.0.113.102
       type generic, total addresses 3, allocated 3 (100%), misses 852

show ip nat translations
Pro Inside global      Inside local       Outside local      Outside global
--- 203.0.113.100      192.168.1.10       ---                ---
--- 203.0.113.101      192.168.1.11       ---                ---
--- 203.0.113.102      192.168.1.12       ---                ---","Dynamic NAT pool contains only 3 public IP addresses without 'overload' (PAT) keyword, preventing more than 3 simultaneous internal hosts from connecting to internet.","Layer 3","NAT","High"
"CASE-31","Branch office PC cannot resolve corporate intranet URL 'portal.company.local'.","PC in Branch office (10.50.1.20/24). Gateway 10.50.1.1. DNS IP configured on PC: 10.50.1.1 (Router-1).","show running-config | include ip dns
ip dns server

show ip host
Default domain is company.local
Name reservation list:
Host                  Port  Flags      Age Type   Address(es)
server.company.local  22    (temp, OK) 0   IP     10.10.1.5","Router-1 local DNS server table is missing host entry for 'portal.company.local'.","Layer 7","DNS","Medium"
"CASE-32","Radius authentication fails for Wireless users on WPA2-Enterprise SSID 'Corp-8021X'.","WLC-1 configured with RADIUS server IP 10.1.1.50 and shared secret key.","show radius summary
Vendor-specific RADIUS attributes: enabled
Server DeadTime.................................. 0 mins
Aggregate Result:
    Number of RADIUS servers..................... 1
Server Index..................................... 1
Server Address................................... 10.1.1.50
Port Number...................................... 1812
State............................................ DOWN (No response to Access-Requests)

show ip interface brief
GigabitEthernet0/1  10.1.1.1  YES manual UP  up","RADIUS server 10.1.1.50 is unreachable or RADIUS shared secret key mismatch between WLC and FreeRADIUS server.","Layer 7","Wireless","High"
